code,name
CLE,Lealao Chinantec
CLH,Chilisso
CLI,Chakali
CLK,Idu-Mishmi
CLL,Chala
CLM,Clallam
CLO,Lowland Oaxaca Chontal
CLU,Caluyanun
CLW,Chulym
CLY,Eastern Highland Chatino
CMA,Maa
CME,Cerma
CMG,Classical Mongolian
CMI,Emberá-Chamí
CMK,Chimakum
CML,Campalagian
CMM,Michigamea
CMN,mandarim
CMO,Central Mnong
CMR,Mro Chin
CMS,Messapic
CMT,Camtho
CNA,Changthang
CNB,Chinbon Chin
CNC,Côông
CNG,Northern Qiang
CNH,Haka Chin
CNI,Asháninka
CNK,Khumi Chin
CNL,Lalana Chinantec
CNO,Con
CNS,Central Asmat
CNT,Tepetotutla Chinantec
CNU,Chenoua
CNW,Ngawn Chin
CNX,Middle Cornish
COA,Cocos Islands Malay
COB,Chicomuceltec
COC,Cocopa
COD,Cocama-Cocamilla
COE,Koreguaje
COF,Colorado
COG,Chong
COH,Chonyi-Dzihana-Kauma
COJ,Cochimi
COK,Santa Teresa Cora
COL,Columbia-Wenatchi
COM,Comanche
CON,Cofán
COO,Comox
COP,Coptic
COQ,Coquille
COR,córnico
COS,corso
COT,Caquinte
COU,Wamey
COV,Cao Miao
COW,Cowlitz
COX,Nanti
COY,Coyaima
COZ,Chochotec
CPA,Palantla Chinantec
CPB,Ucayali-Yurúa Ashéninka
CPC,Ajyíninka Apurucayali
CPG,Cappadocian Greek
CPI,Chinese Pidgin English
CPN,Cherepon
CPS,Capiznon
CPU,Pichis Ashéninka
CPX,Pu-Xian Chinese
CPY,South Ucayali Ashéninka
CQD,Chuanqiandian Cluster Miao
CQU,Chilean Quechua
CRA,Chara
CRB,Island Carib
CRC,Lonwolwol
CRD,Coeur d'Alene
CRE,Cree
CRF,Caramanta
CRG,Michif
CRH,Crimean Tatar
CRI,Sãotomense
CRJ,Southern East Cree
CRK,Plains Cree
CRL,Northern East Cree
CRM,Moose Cree
CRN,El Nayar Cora
CRO,Crow
CRQ,Iyo'wujwa Chorote
CRR,Carolina Algonquian
CRS,Seselwa Creole French
CRT,Iyojwa'ja Chorote
CRV,Chaura
CRW,Chrau
CRX,Carrier
CRY,Cori
CRZ,Cruzeño
CSA,Chiltepec Chinantec
CSB,cassúbio
CSC,língua gestual catalã
CSD,língua gestual de Chiang Mai
CSE,língua gestual checa
CSF,língua gestual cubana
CSG,língua gestual chilena
CSH,Asho Chin
CSI,Coast Miwok
CSK,Jola-Kasa
CSL,língua gestual chinesa
CSM,Central Sierra Miwok
CSN,língua gestual colombiana
CSO,Sochiapam Chinantec
CSQ,língua gestual croata
CSR,Costa Rican Sign Language
CSS,Southern Ohlone
CST,Northern Ohlone
CSW,Swampy Cree
CSY,Siyin Chin
CSZ,Coos
CTA,Tataltepec Chatino
CTC,Chetco
CTD,Tedim Chin
CTE,Tepinapa Chinantec
CTG,Chittagonian
CTL,Tlacoatzintepec Chinantec
CTM,Chitimacha
CTN,Chhintange
CTO,Emberá-Catío
CTP,Western Highland Chatino
CTS,Northern Catanduanes Bicolano
CTT,Wayanad Chetti
CTU,Chol
CTZ,Zacatepec Chatino
CUA,Cua
CUB,Cubeo
CUC,Usila Chinantec
CUG,Cung
CUH,Chuka
CUI,Cuiba
CUJ,Mashco Piro
CUK,San Blas Kuna
CUL,Culina
CUM,Cumeral
CUO,Cumanagoto
CUP,Cupeño
CUQ,Cun
CUR,Chhulung
CUT,Teutila Cuicatec
CUU,Tai Ya
CUV,Cuvok
CUW,Chukwa
CUX,Tepeuxila Cuicatec
CVG,Chug
CVN,Valle Nacional Chinantec
CWA,Kabwa
CWB,Maindo
CWD,Woods Cree
CWE,Kwere
CWG,Chewong
CWT,Kuwaataay
CYA,Nopala Chatino
CYB,caiubaba
CYM,galês
CYO,Cuyonon
CZH,Huizhou Chinese
CZK,Knaanic
CZN,Zenzontepec Chatino
CZO,Min Zhong Chinese
CZT,Zotung Chin
DAA,Dangaléat
DAC,Dambi
DAD,Marik
DAE,Duupa
DAF,Dan
DAG,Dagbani
DAH,Gwahatike
DAI,Day
DAJ,Dar Fur Daju
DAK,Dakota
DAL,Dahalo
DAM,Damakawa
DAN,dinamarquês
DAO,Daai Chin
DAP,Nisi (India)
DAQ,Dandami Maria
DAR,Dargwa
DAS,Daho-Doo
DAU,Dar Sila Daju
DAV,Taita
DAW,Davawenyo
DAX,Dayi
DAZ,Dao
DBA,Bangi Me
DBB,Deno
DBD,Dadiya
DBE,Dabe
DBF,Edopi
DBG,Dogul Dom Dogon
DBI,Doka
DBJ,Ida'an
DBL,Dyirbal
DBM,Duguri
DBN,Duriankere
DBO,Dulbu
DBP,Duwai
DBQ,Daba
DBR,Dabarre
DBU,Bondum Dom Dogon
DBV,Dungu
DBY,Dibiyaso
DCC,Deccan
DCR,Negerhollands
DDD,Dongotono
DDE,Doondo
DDG,Fataluku
DDI,Diodio
DDJ,Jaru
DDN,Dendi (Benin)
DDO,Dido
DDS,Donno So Dogon
DDW,Dawera-Daweloor
DEC,Dagik
DED,Dedua
DEE,Dewoin
DEF,Dezfuli
DEG,Degema
DEH,Dehwari
DEI,Demisa
DEK,Dek
DEL,Delaware
DEM,Dem
DEN,Slave (Athapascan)
DEP,Pidgin Delaware
DEQ,Dendi (Central African Republic)
DER,Deori
DES,Desano
DEU,alemão
DEV,Domung
DEZ,Dengese
DGA,Southern Dagaare
DGB,Bunoge Dogon
DGC,Casiguran Dumagat Agta
DGD,Dagaari Dioula
DGE,Degenan
DGG,Doga
DGH,Dghwede
DGI,Northern Dagara
DGK,Dagba
DGN,Dagoman
DGO,Dogri (individual language)
DGR,Dogrib
DGS,Dogoso
DGU,Degaru
DGX,Doghoro
DGZ,Daga
DHA,Dhanwar (India)
DHD,Dhundari
DHG,Dhangu
DHI,Dhimal
DHL,Dhalandji
DHM,Zemba
DHN,Dhanki
DHO,Dhodia
DHR,Dhargari
DHS,Dhaiso
DHU,Dhurga
DHV,Dehu
DHW,Dhanwar (Nepal)
DIA,Dia
DIB,South Central Dinka
DIC,Lakota Dida
DID,Didinga
DIF,Dieri
DIG,Digo
DIH,Kumiai
DII,Dimbong
DIJ,Dai
DIK,Southwestern Dinka
DIL,Dilling
DIM,Dime
DIN,Dinka
DIO,Dibo
DIP,Northeastern Dinka
DIQ,Dimli (individual language)
DIR,Dirim
DIS,Dimasa
DIT,Dirari
DIU,Diriku
DIV,divehi
DIW,Northwestern Dinka
DIX,Dixon Reef
DIY,Diuwe
DIZ,Ding
DJB,Djinba
DJC,Dar Daju Daju
DJD,Djamindjung
DJE,Zarma
DJF,Djangun
DJI,Djinang
DJJ,Djeebbana
DJK,Aukan
DJL,Djiwarli
DJM,Jamsay Dogon
DJN,Djauan
DJO,Jangkang
DJR,Djambarrpuyngu
DJU,Kapriman
DJW,Djawi
DKA,Dakpakha
DKK,Dakka
DKL,Kolum So Dogon
DKR,Kuijau
DKS,Southeastern Dinka
DKX,Mazagway
DLG,Dolgan
DLM,Dalmatian
DLN,Darlong
DMA,Duma
DMC,Dimir
DME,Dugwor
DMG,Upper Kinabatangan
DMK,Domaaki
DML,Dameli
DMM,Dama
DMO,Kemezung
DMR,East Damar
DMS,Dampelas
DMU,Dubu
DMV,Dumpas
DMX,Dema
DMY,Demta
DNA,Upper Grand Valley Dani
DND,Daonda
DNE,Ndendeule
DNG,Dungan
DNI,Lower Grand Valley Dani
DNK,Dengka
DNN,Dzùùngoo
DNR,Danaru
DNT,Mid Grand Valley Dani
DNU,Danau
DNW,Western Dani
DNY,Dení
DOA,Dom
DOB,Dobu
DOC,Northern Dong
DOE,Doe
DOF,Domu
DOH,Dong
DOI,Dogri (macrolanguage)
DOK,Dondo
DOL,Doso
DON,Toura (Papua New Guinea)
DOO,Dongo
DOP,Lukpa
DOQ,Dominican Sign Language
DOR,Dori'o
DOS,Dogosé
DOT,Dass
DOV,Dombe
DOW,Doyayo
DOX,Bussa
DOY,Dompo
DOZ,Dorze
DPP,Papar
DRB,Dair
DRD,Darmiya
DRE,Dolpo
DRG,Rungus
DRH,Darkhat
DRI,C'lela
DRL,Darling
DRN,West Damar
DRO,Daro-Matu Melanau
DRQ,Dura
DRR,Dororo
DRS,Gedeo
DRT,Drents
DRU,Rukai
DRW,Darwazi
DRY,Darai
DSB,Lower Sorbian
DSE,língua gestual neerlandesa
DSH,Daasanach
DSI,Disa
DSL,língua gestual dinamarquesa
DSN,Dusner
DSO,Desiya
DSQ,Tadaksahak
DTA,Daur
DTB,Labuk-Kinabatangan Kadazan
DTI,Ana Tinga Dogon
DTK,Tene Kan Dogon
DTM,Tomo Kan Dogon
DTP,Central Dusun
DTR,Lotud
DTS,Toro So Dogon
DTT,Toro Tegu Dogon
DTU,Tebul Ure Dogon
DUA,Duala
DUB,Dubli
DUC,Duna
DUD,Hun-Saare
DUE,Umiray Dumaget Agta
DUF,Dumbea
DUG,Duruma
DUH,Dungra Bhil
DUI,Dumun
DUJ,Dhuwal
DUK,Duduela
DUL,Alabat Island Agta
DUM,Middle Dutch (ca. 1050-1350)
DUN,Dusun Deyah
DUO,Dupaninan Agta
DUP,Duano
DUQ,Dusun Malang
DUR,Dii
DUS,Dumi
DUU,Drung
DUV,Duvle
DUW,Dusun Witu
DUX,Duungooma
DUY,Dicamay Agta
DUZ,Duli
DVA,Duau
DWA,Diri
DWL,Walo Kumbe Dogon
DWR,Dawro
DWS,Dutton World Speedwords
DWW,Dawawa
DYA,Dyan
DYB,Dyaberdyaber
DYD,Dyugun
DYG,Villa Viciosa Agta
DYI,Djimini Senoufo
DYM,Yanda Dom Dogon
DYN,Dyangadi
DYO,Jola-Fonyi
DYU,Dyula
DYY,Dyaabugay
DZA,Tunzu
DZD,Daza
DZG,Dazaga
DZL,Dzalakha
DZN,Dzando
DZO,butanês
EBG,Ebughu
EBO,Teke-Ebo
EBR,Ebrié
EBU,Embu
ECR,Eteocretan
ECS,língua gestual do Equador
ECY,Eteocypriot
EEE,E
EFA,Efai
EFE,Efe
EFI,Efik
EGA,Ega
EGL,Emilian
EGO,Eggon
EGY,Egyptian (Ancient)
EHU,Ehueun
EIP,Eipomek
EIT,Eitiep
EIV,Askopan
EJA,Ejamat
EKA,Ekajuk
EKE,Ekit
EKG,Ekari
EKI,Eki
EKK,Standard Estonian
EKL,Kol
EKM,Elip
EKO,Koti
EKP,Ekpeye
EKR,Yace
EKY,Eastern Kayah
ELE,Elepi
ELH,El Hugeirat
ELI,Nding
ELK,Elkei
ELL,grego
ELM,Eleme
ELO,El Molo
ELP,Elpaputih
ELU,Elu
ELX,Elamite
EMA,Emai-Iuleha-Ora
EMB,Embaloh
EME,Emerillon
EMG,Eastern Meohang
EMI,Mussau-Emira
EMK,Eastern Maninkakan
EMM,Mamulique
EMN,Eman
EMO,Emok
EMP,Northern Emberá
EMS,Pacific Gulf Yupik
EMU,Eastern Muria
EMW,Emplawas
EMY,Epigraphic Mayan
ENA,Apali
ENB,Markweeta
ENC,En
END,Ende
ENF,Forest Enets
ENH,Tundra Enets
ENM,Middle English (1100-1500)
ENN,Engenni
ENO,Enggano
ENQ,Enga
ENR,Emumu
ENU,Enu
ENV,Enwan (Edu State)
ENW,Enwan (Akwa Ibom State)
EOT,Beti (Côte d'Ivoire)
EPI,Epie
EPO,esperanto
ERA,Eravallan
ERG,Sie
ERH,Eruwa
ERI,Ogea
ERK,South Efate
ERO,Horpa
ERR,Erre
ERS,Ersu
ERT,Eritai
ERW,Erokwanas
ESE,esse eja
ESH,Eshtehardi
ESI,North Alaskan Inupiatun
ESK,Northwest Alaska Inupiatun
ESL,língua gestual egípcia
ESM,Esuma
ESN,Salvadoran Sign Language
ESO,língua gestual estoniana
ESQ,Esselen
ESS,Central Siberian Yupik
EST,estónio
ESU,Central Yupik
ETB,Etebi
ETC,Etchemin
ETH,Ethiopian Sign Language
ETN,Eton (Vanuatu)
ETO,Eton (Cameroon)
ETR,Edolo
ETS,Yekhee
ETT,Etruscan
ETU,Ejagham
ETX,Eten
ETZ,Semimi
EUS,basco
EVE,Even
EVH,Uvbie
EVN,Evenki
EWE,ewe
EWO,Ewondo
EXT,Extremaduran
EYA,Eyak
EYO,Keiyo
EZE,Uzekwe
FAA,Fasu
FAB,Fa D'ambu
FAD,Wagi
FAF,Fagani
FAG,Finongan
FAH,Baissa Fali
FAI,Faiwol
FAJ,Faita
FAK,Fang (Cameroon)
FAL,South Fali
FAM,Fam
FAN,Fang (Equatorial Guinea)
FAO,feroês
FAP,Palor
FAR,Fataleka
FAS,perso
FAT,Fanti
FAU,Fayu
FAX,Fala
FAY,Southwestern Fars
FAZ,Northwestern Fars
FCS,língua gestual quebequiana
FER,Feroge
FFI,Foia Foia
FFM,Maasina Fulfulde
FGR,Fongoro
FIA,Nobiin
FIE,Fyer
FIJ,fijiano
FIL,filipino
FIN,finlandês
FIP,Fipa
FIR,Firan
FIT,Tornedalen Finnish
FIW,Fiwaga
FKV,Kven Finnish
FLA,Kalispel-Pend d'Oreille
FLH,Foau
FLI,Fali
FLL,North Fali
FLN,Flinders Island
FLR,Fuliiru
FLY,Tsotsitaal
FMP,Fe'fe'
FMU,Far Western Muria
FNG,Fanagalo
FNI,Fania
FOD,Foodo
FOI,Foi
FOM,Foma
FON,Fon
FOR,Fore
FOS,Siraya
FPE,Fernando Po Creole English
FQS,Fas
FRA,francês
FRC,Cajun French
FRD,Fordata
FRK,Frankish
FRM,Middle French (ca. 1400-1600)
FRO,Old French (842-ca. 1400)
FRP,Franco-Provençal
FRQ,Forak
FRR,Northern Frisian
FRS,Eastern Frisian
FRT,Fortsenal
FRY,frísio
FSE,língua gestual finlandesa
FSL,língua gestual francesa
FSS,língua gestual sueca da Finlândia
FUB,Adamawa Fulfulde
FUC,Pulaar
FUD,East Futuna
FUE,Borgu Fulfulde
FUF,Pular
FUH,Western Niger Fulfulde
FUI,Bagirmi Fulfulde
FUJ,Ko
FUL,Fulah
FUM,Fum
FUN,Fulniô
FUQ,Central-Eastern Niger Fulfulde
FUR,Friulan
FUT,Futuna-Aniwa
FUU,Furu
FUV,Nigerian Fulfulde
FUY,Fuyug
FVR,Fur
FWA,Fwâi
FWE,Fwe
GAA,Ga
GAB,Gabri
GAD,Gaddang
GAE,Guarequena
GAF,Gende
GAG,Gagauz
GAH,Alekano
GAI,Borei
GAJ,Gadsup
GAK,Gamkonora
GAL,Galoli
GAM,Kandawo
GAN,Gan Chinese
GAO,Gants
GAP,Gal
GAQ,Gata'
GAR,Galeya
GAS,Adiwasi Garasia
GAT,Kenati
GAU,Mudhili Gadaba
GAV,Gabutamon
GAW,Nobonob
GAX,Borana-Arsi-Guji Oromo
GAY,Gayo
GAZ,West Central Oromo
GBA,Gbaya (Central African Republic)
GBB,Kaytetye
GBC,Garawa
GBD,Karadjeri
GBE,Niksek
GBF,Gaikundi
GBG,Gbanziri
GBH,Defi Gbe
GBI,Galela
GBJ,Bodo Gadaba
GBK,Gaddi
GBL,Gamit
GBM,Garhwali
GBN,Mo'da
GBO,Northern Grebo
GBP,Gbaya-Bossangoa
GBQ,Gbaya-Bozoum
GBR,Gbagyi
GBS,Gbesi Gbe
GBU,Gagadu
GBV,Gbanu
GBX,Eastern Xwla Gbe
GBY,Gbari
GBZ,Zoroastrian Dari
GCC,Mali
GCD,Ganggalida
GCE,Galice
GCF,Guadeloupean Creole French
GCL,Grenadian Creole English
GCN,Gaina
GCR,Guianese Creole French
GCT,Colonia Tovar German
GDA,Gade Lohar
GDB,Pottangi Ollar Gadaba
GDC,Gugu Badhun
GDD,Gedaged
GDE,Gude
GDF,Guduf-Gava
GDG,Ga'dang
GDH,Gadjerawang
GDI,Gundi
GDJ,Gurdjar
GDK,Gadang
GDL,Dirasha
GDM,Laal
GDN,Umanakaina
GDO,Ghodoberi
GDQ,Mehri
GDR,Wipi
GDU,Gudu
GDX,Godwari
GEA,Geruma
GEB,Kire
GEC,Gboloo Grebo
GED,Gade
GEG,Gengle
GEH,Hutterite German
GEI,Gebe
GEJ,Gen
GEK,Yiwom
GEL,Kag-Fer-Jiir-Koor-Ror-Us-Zuksun
GEQ,Geme
GES,Geser-Gorom
GEW,Gera
GEX,Garre
GEY,Enya
GEZ,Geez
GFK,Patpatar
GFT,Gafat
GGA,Gao
GGB,Gbii
GGD,Gugadj
GGE,Guragone
GGG,Gurgula
GGK,Kungarakany
GGL,Ganglau
GGN,Eastern Gurung
GGO,Southern Gondi
GGR,Aghu Tharnggalu
GGT,Gitua
GGU,Gagu
GGW,Gogodala
GHA,Ghadamès
GHC,Hiberno-Scottish Gaelic
GHE,Southern Ghale
GHH,Northern Ghale
GHK,Geko Karen
GHL,Ghulfan
GHN,Ghanongga
GHO,Ghomara
GHR,Ghera
GHS,Guhu-Samane
GHT,Kutang Ghale
GIA,Kitja
GIB,Gibanawa
GIC,Gail
GID,Gidar
GIG,Goaria
GIL,Gilbertese
GIM,Gimi (Eastern Highlands)
GIN,Hinukh
GIO,Gelao
GIP,Gimi (West New Britain)
GIQ,Green Gelao
GIR,Red Gelao
GIS,North Giziga
GIT,Gitxsan
GIW,White Gelao
GIX,Gilima
GIY,Giyug
GIZ,South Giziga
GJI,Geji
GJK,Kachi Koli
GJN,Gonja
GJU,Gujari
GKA,Guya
GKE,Ndai
GKN,Gokana
GKP,Guinea Kpelle
GLA,gaélico escocês
GLC,Bon Gula
GLD,Nanai
GLE,irlandês
GLG,galego
GLH,Northwest Pashayi
GLI,Guliguli
GLJ,Gula Iro
GLK,Gilaki
GLO,Galambu
GLR,Glaro-Twabo
GLU,Gula (Chad)
GLV,manês
GLW,Glavda
GLY,Gule
GMA,Gambera
GMB,Gula'alaa
GMD,Mághdì
GMH,Middle High German (ca. 1050-1500)
GML,Middle Low German
GMM,Gbaya-Mbodomo
GMN,Gimnime
GMU,Gumalu
GMV,Gamo
GMX,Magoma
GMY,Mycenaean Greek
GNA,Kaansa
GNB,Gangte
GNC,Guanche
GND,Zulgo-Gemzek
GNE,Ganang
GNG,Ngangam
GNH,Lere
GNI,Gooniyandi
GNK,//Gana
GNL,Gangulu
GNM,Ginuman
GNN,Gumatj
GNO,Northern Gondi
GNQ,Gana
GNR,Gureng Gureng
GNT,Guntai
GNU,Gnau
GNW,Western Bolivian Guaraní
GNZ,Ganzi
GOA,Guro
GOB,Playero
GOC,Gorakor
GOD,Godié
GOE,Gongduk
GOF,Gofa
GOG,Gogo
GOH,Old High German (ca. 750-1050)
GOI,Gobasi
GOJ,Gowlan
GOK,Gowli
GOL,Gola
GOM,Goan Konkani
GON,Gondi
GOO,Gone Dau
GOP,Yeretuar
GOQ,Gorap
GOR,Gorontalo
GOS,Gronings
GOT,Gothic
GOU,Gavar
GOW,Gorowa
GOX,Gobu
GOY,Goundo
GOZ,Gozarkhani
GPA,Gupa-Abawa
GPN,Taiap
GQA,Ga'anda
GQI,Guiqiong
GQN,Guana (Brazil)
GQR,Gor
GRA,Rajput Garasia
GRB,Grebo
GRC,Ancient Greek (to 1453)
GRD,Guruntum-Mbaaru
GRG,Madi
GRH,Gbiri-Niragu
GRI,Ghari
GRJ,Southern Grebo
GRM,Kota Marudu Talantang
GRN,guarani
GRO,Groma
GRQ,Gorovu
GRR,Taznatit
GRS,Gresi
GRT,Garo
GRU,Kistane
GRV,Central Grebo
GRW,Gweda
GRX,Guriaso
GRY,Barclayville Grebo
GRZ,Guramalum
GSE,Ghanaian Sign Language
GSG,German Sign Language
GSL,Gusilay
GSM,língua gestual da Guatemala
GSN,Gusan
GSO,Southwest Gbaya
GSP,Wasembo
GSS,língua gestual grega
GSW,Swiss German
GTA,Guató
GTI,Gbati-ri
GUA,Shiki
GUB,Guajajára
GUC,Wayuu
GUD,Yocoboué Dida
GUE,Gurinji
GUF,Gupapuyngu
GUG,guarani do Paraguai
GUH,Guahibo
GUI,Eastern Bolivian Guaraní
GUJ,Gujarati
GUK,Gumuz
GUL,Sea Island Creole English
GUM,Guambiano
GUN,Mbyá Guaraní
GUO,Guayabero
GUP,Gunwinggu
GUQ,Aché
GUR,Farefare
GUS,Guinean Sign Language
GUT,Maléku Jaíka
GUU,Yanomamö
GUV,Gey
GUW,Gun
GUX,Gourmanchéma
GUZ,Gusii
GVA,Guana (Paraguay)
GVC,Guanano
GVE,Duwet
GVF,Golin
GVJ,Guajá
GVL,Gulay
GVM,Gurmana
GVN,Kuku-Yalanji
GVO,Gavião Do Jiparaná
GVP,Pará Gavião
GVR,Western Gurung
GVS,Gumawana
GVY,Guyani
GWA,Mbato
GWB,Gwa
GWC,Kalami
GWD,Gawwada
GWE,Gweno
GWF,Gowro
GWG,Moo
GWI,Gwichʼin
GWJ,/Gwi
GWN,Gwandara
GWR,Gwere
GWT,Gawar-Bati
GWU,Guwamu
GWW,Kwini
GWX,Gua
GXX,Wè Southern
GYA,Northwest Gbaya
GYB,Garus
GYD,Kayardild
GYE,Gyem
GYF,Gungabula
GYG,Gbayi
GYI,Gyele
GYL,Gayil
GYM,Ngäbere
GYN,Guyanese Creole English
GYR,guaraiú
GYY,Gunya
GZA,Ganza
GZI,Gazi
GZN,Gane
HAA,Han
HAB,Hanoi Sign Language
HAC,Gurani
HAD,Hatam
HAE,Eastern Oromo
HAF,Haiphong Sign Language
HAG,Hanga
HAH,Hahon
HAI,Haida
HAJ,Hajong
HAK,Hakka Chinese
HAL,Halang
HAM,Hewa
HAN,Hangaza
HAO,Hakö
HAP,Hupla
HAQ,Ha
HAR,Harari
HAS,Haisla
HAT,Haitian
HAU,Hausa
HAV,Havu
HAW,Hawaiian
HAX,Southern Haida
HAY,Haya
HAZ,Hazaragi
HBA,Hamba
HBB,Huba
HBN,Heiban
HBO,Ancient Hebrew
HBU,Habu
HCA,crioulo hindi das ilhas Andamão
HCH,Huichol
HDN,Northern Haida
HDS,língua gestual das Honduras
HDY,Hadiyya
HEA,Northern Qiandong Miao
HEB,hebreu
HED,Herdé
HEG,Helong
HEH,Hehe
HEI,Heiltsuk
HEM,Hemba
HER,Herero
HGM,Hai//om
HGW,Haigwai
HHI,Hoia Hoia
HHR,Kerak
HHY,Hoyahoya
HIA,Lamang
HIB,Hibito
HID,Hidatsa
HIF,híndi de Fiji
HIG,Kamwe
HIH,Pamosu
HII,Hinduri
HIJ,Hijuk
HIK,Seit-Kaitetu
HIL,Hiligaynon
HIN,hindi
HIO,Tsoa
HIR,Himarimã
HIT,Hittite
HIW,Hiw
HIX,Hixkaryána
HJI,Haji
HKA,Kahe
HKE,Hunde
HKK,Hunjara-Kaina Ke
HKS,língua gestual de Hong Kong
HLA,Halia
HLB,Halbi
HLD,Halang Doan
HLE,Hlersu
HLT,Nga La
HLU,Hieroglyphic Luwian
HMA,Southern Mashan Hmong
HMB,Humburi Senni Songhay
HMC,Central Huishui Hmong
HMD,Large Flowery Miao
HME,Eastern Huishui Hmong
HMF,Hmong Don
HMG,Southwestern Guiyang Hmong
HMH,Southwestern Huishui Hmong
HMI,Northern Huishui Hmong
HMJ,Ge
HMK,Maek
HML,Luopohe Hmong
HMM,Central Mashan Hmong
HMN,Hmong
HMO,hiri motu
HMP,Northern Mashan Hmong
HMQ,Eastern Qiandong Miao
HMR,Hmar
HMS,Southern Qiandong Miao
HMT,Hamtai
HMU,Hamap
HMV,Hmong Dô
HMW,Western Mashan Hmong
HMY,Southern Guiyang Hmong
HMZ,Hmong Shua
HNA,Mina (Cameroon)
HND,Southern Hindko
HNE,Chhattisgarhi
HNH,//Ani
HNI,Hani
HNJ,Hmong Njua
HNN,Hanunoo
HNO,Northern Hindko
HNS,Caribbean Hindustani
HNU,Hung
HOA,Hoava
HOB,Mari (Madang Province)
HOC,Ho
HOD,Holma
HOE,Horom
HOH,Hobyót
HOI,Holikachuk
HOJ,Hadothi
HOL,Holu
HOM,Homa
HOO,Holoholo
HOP,Hopi
HOR,Horo
HOS,Ho Chi Minh City Sign Language
HOT,Hote
HOV,Hovongan
HOW,Honi
HOY,Holiya
HOZ,Hozo
HPO,Hpon
HPS,língua gestual pidgin do Havai
HRA,Hrangkhol
HRE,Hre
HRK,Haruku
HRM,Horned Miao
HRO,Haroi
HRR,Horuru
HRT,Hértevin
HRU,Hruso
HRV,croata
HRX,Hunsrik
HRZ,Harzani
HSB,alto sorábio
HSH,Hungarian Sign Language
HSL,língua gestual de hausa
HSN,Xiang Chinese
HSS,Harsusi
HTI,Hoti
HTO,Minica Huitoto
HTS,Hadza
HTU,Hitu
HTX,Middle Hittite
HUB,Huambisa
HUC,=/Hua
HUD,Huaulu
HUE,San Francisco Del Mar Huave
HUF,Humene
HUG,Huachipaeri
HUH,Huilliche
HUI,Huli
HUJ,Northern Guiyang Hmong
HUK,Hulung
HUL,Hula
HUM,Hungana
HUN,húngaro
HUO,Hu
HUP,Hupa
HUQ,Tsat
HUR,Halkomelem
HUS,Huastec
HUT,Humla
HUU,Murui Huitoto
HUV,San Mateo Del Mar Huave
HUW,Hukumina
HUX,Nüpode Huitoto
HUY,Hulaulá
HUZ,Hunzib
HVC,Haitian Vodoun Culture Language
HVE,San Dionisio Del Mar Huave
HVK,Haveke
HVN,Sabu
HVV,Santa María Del Mar Huave
HWA,Wané
HWC,Hawai'i Creole English
HWO,Hwana
HYA,Hya
HYE,arménio
IAI,Iaai
IAN,Iatmul
IAP,Iapama
IAR,Purari
IBA,Iban
IBB,Ibibio
IBD,Iwaidja
IBE,Akpes
IBG,Ibanag
IBI,Ibilo
IBL,Ibaloi
IBM,Agoi
IBN,Ibino
IBO,igbo
IBR,Ibuoro
IBU,Ibu
IBY,Ibani
ICA,Ede Ica
ICH,Etkywan
ICL,Icelandic Sign Language
ICR,Islander Creole English
IDA,Idakho-Isukha-Tiriki
IDB,Indo-Portuguese
IDC,Idon
IDD,Ede Idaca
IDE,Idere
IDI,Idi
IDO,Ido
IDR,Indri
IDS,Idesa
IDT,Idaté
IDU,Idoma
IFA,Amganad Ifugao
IFB,Batad Ifugao
IFE,Ifè
IFF,Ifo
IFK,Tuwali Ifugao
IFM,Teke-Fuumu
IFU,Mayoyao Ifugao
IFY,Keley-I Kallahan
IGB,Ebira
IGE,Igede
IGG,Igana
IGL,Igala
IGM,Kanggape
IGN,inaciano
IGO,Isebe
IGS,Interglossa
IGW,Igwe
IHB,Iha Based Pidgin
IHI,Ihievbe
IHP,Iha
III,Sichuan Yi
IJC,Izon
IJE,Biseni
IJJ,Ede Ije
IJN,Kalabari
IJS,Southeast Ijo
IKE,Eastern Canadian Inuktitut
IKI,Iko
IKK,Ika
IKL,Ikulu
IKO,Olulumo-Ikom
IKP,Ikpeshi
IKT,Western Canadian Inuktitut
IKU,Inuktitut
IKV,Iku-Gora-Ankwa
IKW,Ikwere
IKX,Ik
IKZ,Ikizu
ILA,Ile Ape
ILB,Ila
ILE,Interlingue
ILG,Garig-Ilgar
ILI,Ili Turki
ILK,Ilongot
ILL,Iranun
ILO,Iloko
ILS,International Sign
ILU,Ili'uun
ILV,Ilue
ILW,Talur
IMA,Mala Malasar
IME,Imeraguen
IMI,Anamgura
IML,Miluk
IMN,Imonda
IMO,Imbongu
IMR,Imroing
IMS,Marsian
IMY,Milyan
INA,interlíngua
INB,Inga
IND,indonésia
ING,Degexit'an
INH,Ingush
INJ,Jungle Inga
INL,língua gestual indonésia
INM,Minaean
INN,Isinai
INO,Inoke-Yate
INP,Iñapari
INS,língua gestual indiana
INT,Intha
INZ,Ineseño
IOR,Inor
IOU,Tuma-Irumu
IOW,Iowa-Oto
IPI,Ipili
IPK,Inupiaq
IPO,Ipiko
IQU,Iquito
IRE,Iresim
IRH,Irarutu
IRI,Irigwe
IRK,Iraqw
IRN,Irántxe
IRR,Ir
IRU,Irula
IRX,Kamberau
IRY,Iraya
ISA,Isabi
ISC,Isconahua
ISD,Isnag
ISE,Italian Sign Language
ISG,Irish Sign Language
